Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of heterochromatin assembly (GO:0031452)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	AICDA
negative regulation of histone deacetylation (GO:0031064)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	FOXP3
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	MMP3
negative regulation of hydrogen peroxide-induced neuron death (GO:1903208)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	NR4A3
negative regulation of interleukin-13 production (GO:0032696)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LILRA5
negative regulation of leukocyte adhesion to vascular endothelial cell (GO:1904995)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CCL28
negative regulation of macrophage chemotaxis (GO:0010760)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SLAMF8
negative regulation of metallopeptidase activity (GO:1905049)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TIMP1
negative regulation of organelle organization (GO:0010639)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LILRB2
negative regulation of plasminogen activation (GO:0010757)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SERPINE1
negative regulation of regulatory T cell differentiation (GO:0045590)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	IRF1
negative regulation of sphingolipid biosynthetic process (GO:0090155)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SPHK1
negative regulation of synapse organization (GO:1905809)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TLR2
negative regulation of transforming growth factor beta1 production (GO:0032911)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TYROBP
negative regulation of tubulin deacetylation (GO:1904428)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TPPP
negative regulation of vascular endothelial cell proliferation (GO:1905563)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CCL2
neuroinflammatory response (GO:0150076)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	IFNG
non-canonical Wnt signaling pathway via MAPK cascade (GO:0038030)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	FZD7
nucleoside transport (GO:0015858)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SLC28A2
p38MAPK cascade (GO:0038066)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LGALS9
pentose catabolic process (GO:0019323)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	XYLB
plus-end-directed vesicle transport along microtubule (GO:0072383)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	KIFAP3
PML body organization (GO:0030578)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PML
positive regulation of 3'-UTR-mediated mRNA stabilization (GO:1905870)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TENT4B
positive regulation of anion transmembrane transport (GO:1903961)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ABCB1
positive regulation of axon extension involved in axon guidance (GO:0048842)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SEMA5A
positive regulation of dendritic cell differentiation (GO:2001200)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LGALS9
positive regulation of DNA demethylation (GO:1901537)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	USP7
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000373)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PLSCR1
positive regulation of dopamine receptor signaling pathway (GO:0060161)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	VPS35
positive regulation of gamma-delta T cell activation (GO:0046645)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	NOD2
positive regulation of Golgi to plasma membrane protein transport (GO:0042998)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CNST
positive regulation of long-term synaptic depression (GO:1900454)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LILRB2
positive regulation of MHC class I biosynthetic process (GO:0045345)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	NLRC5
positive regulation of natural killer cell proliferation (GO:0032819)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	HLA-E
positive regulation of prostaglandin secretion (GO:0032308)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	IL1B
positive regulation of protein localization to synapse (GO:1902474)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	WNT5A
positive regulation of smooth muscle cell differentiation (GO:0051152)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SHH
positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	RTN4
positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SOD2
positive thymic T cell selection (GO:0045059)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SHH
proline biosynthetic process (GO:0006561)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PYCR1
prostaglandin transport (GO:0015732)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	NOS2
protein citrullination (GO:0018101)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PADI4
protein retention in Golgi apparatus (GO:0045053)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SORL1
protein sialylation (GO:1990743)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ST3GAL4
pyridine-containing compound metabolic process (GO:0072524)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	NNMT
pyrimidine nucleoside transport (GO:0015864)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SLC28A2
receptor-mediated virion attachment to host cell (GO:0046813)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ICAM1
regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	MRAP2
regulation of cell maturation (GO:1903429)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CLEC7A
regulation of chloride transport (GO:2001225)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ABCB1
regulation of chromosome separation (GO:1905818)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PLSCR1
regulation of core promoter binding (GO:1904796)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	IFNG
regulation of dendritic cell cytokine production (GO:0002730)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CLEC7A
regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000371)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PLSCR1
regulation of endothelial tube morphogenesis (GO:1901509)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CXCL10
regulation of granulocyte colony-stimulating factor production (GO:0071655)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LILRA2
regulation of growth hormone receptor signaling pathway (GO:0060398)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	GDF15
regulation of guanylate cyclase activity (GO:0031282)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	NOS2
regulation of heart growth (GO:0060420)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	DUSP6
regulation of hormone metabolic process (GO:0032350)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	STC2
regulation of integrin biosynthetic process (GO:0045113)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	S100A9
regulation of inward rectifier potassium channel activity (GO:1901979)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TREM2
regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	PCSK9
regulation of microglial cell mediated cytotoxicity (GO:1904149)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TYROBP
regulation of miRNA catabolic process (GO:2000625)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ZC3H12A
regulation of morphogenesis of a branching structure (GO:0060688)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	RTN4
regulation of natural killer cell mediated immunity (GO:0002715)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	HLA-E
regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry (GO:1900175)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SHH
regulation of receptor catabolic process (GO:2000644)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	DTX3L
regulation of respiratory burst involved in inflammatory response (GO:0060264)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SLAMF8
regulation of ribonuclease activity (GO:0060700)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	OASL
regulation of type B pancreatic cell apoptotic process (GO:2000674)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	IL6
regulation of vitamin D receptor signaling pathway (GO:0070562)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CYP27B1
renal tubule development (GO:0061326)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	STAT1
response to cocaine (GO:0042220)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	TGM2
response to fructose (GO:0009750)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	GCKR
response to macrophage colony-stimulating factor (GO:0036005)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	DCSTAMP
response to salt stress (GO:0009651)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	AQP1
response to sodium arsenite (GO:1903935)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ZC3H12A
retina vasculature development in camera-type eye (GO:0061298)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	ACVRL1
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SEC61A1
T cell extravasation (GO:0072683)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CCL2
toll-like receptor 2 signaling pathway (GO:0034134)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	LGALS9
tryptophan catabolic process to kynurenine (GO:0019441)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	IDO1
uridine transport (GO:0015862)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	SLC28A2
vitamin D3 metabolic process (GO:0070640)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	CYP27B1
xylulose 5-phosphate biosynthetic process (GO:1901159)	1/5	0.2197004551106261	0.548060349401982	0	0	4.919338159255429	7.455208908993655	XYLB
phosphatidic acid metabolic process (GO:0046473)	4/50	0.2221880531744976	0.5538905970132026	0	0	1.7126104997293885	2.5761620945863877	GPAM;PLA2G2A;DDHD2;PLA2G3
cation transport (GO:0006812)	11/174	0.22293033962022796	0.5553650273894989	0	0	1.3305831746703336	1.9970668776521538	SLC5A8;SCNN1B;SLC11A2;SLC6A14;KCNJ15;SLC4A11;ANO6;SLC5A4;SLC38A5;KCNJ2;AQP1
anion transmembrane transport (GO:0098656)	5/67	0.22333850747757278	0.5556299895489344	0	0	1.5886175593742673	2.381443662790696	SLC39A8;SFXN1;SLC25A42;MFSD12;SLC38A5
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	5/67	0.22333850747757278	0.5556299895489344	0	0	1.5886175593742673	2.381443662790696	RHBDF1;PLAUR;PTPRJ;AREG;HBEGF
regulation of cell death (GO:0010941)	7/102	0.22433551190216675	0.5577335279026185	0	0	1.4519853223068075	2.1701554513773202	ZC3H12A;VPS35;PARP16;CCN2;CD36;CCN1;OLFM4
cardiac muscle contraction (GO:0060048)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	KCNH2;MYBPC3;SCN1B
phosphatidylserine metabolic process (GO:0006658)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	PLSCR1;PLA2G2A;PLA2G3
positive regulation of calcium ion transport into cytosol (GO:0010524)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	CXCL10;CXCL9;CXCL11
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	PLAUR;AREG;HBEGF
protein localization to chromosome (GO:0034502)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	TNKS;RPA1;TERF2
regulation of amyloid-beta formation (GO:1902003)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	IFNG;SORL1;RTN4
regulation of transmembrane transport (GO:0034762)	3/34	0.22600819420105073	0.5592487708657721	0	0	1.9054989135885008	2.8338275398284942	FFAR4;KCNJ15;KCNJ2
B cell activation (GO:0042113)	6/85	0.228999796997916	0.561295383100115	0	0	1.4963288507592305	2.2056398434560807	CD86;ADGRG3;IL11;NFAM1;PTPRJ;AICDA
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	7/103	0.23150278940231483	0.561295383100115	0	0	1.4367845993756503	2.102250576665817	CLEC4A;FCER1G;IFI30;KIFAP3;HLA-F;CTSS;HLA-E
regulation of cellular amine metabolic process (GO:0033238)	4/51	0.232643001253936	0.561295383100115	0	0	1.6760836938289043	2.4441493547064566	PSMB10;AZIN1;PSMB8;PSMB9
regulation of epithelial cell migration (GO:0010632)	4/51	0.232643001253936	0.561295383100115	0	0	1.6760836938289043	2.4441493547064566	IFNG;GLUL;RTN4;PFN2
regulation of protein modification process (GO:0031399)	4/51	0.232643001253936	0.561295383100115	0	0	1.6760836938289043	2.4441493547064566	PARG;IFNG;PML;WARS1
sensory perception (GO:0007600)	4/51	0.232643001253936	0.561295383100115	0	0	1.6760836938289043	2.4441493547064566	C5AR1;PROK2;CCL2;CCR2
post-translational protein modification (GO:0043687)	20/345	0.23340284348872475	0.561295383100115	0	0	1.2143459915611814	1.766860516879439	GOLM1;IGFBP3;TMEM132A;PCSK9;PSMB8;CKAP4;PSMB10;PSMB9;SOCS3;IL6;RCN1;EVA1A;STC2;UBD;VWA1;FBXO6;QSOX1;TIMP1;CCN1;APOL1
cardiac muscle cell contraction (GO:0086003)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	KCNJ2;SCN1B
diol metabolic process (GO:0034311)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	ASAH2;SPHK1
folic acid metabolic process (GO:0046655)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	MTHFD2;ALDH1L2
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	XYLT1;HS2ST1
leukocyte adhesion to vascular endothelial cell (GO:0061756)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	SLC39A8;SELE
maintenance of protein localization in organelle (GO:0072595)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	HK2;PML
mitochondrion localization (GO:0051646)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	TRAK1;NECTIN2
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	SORL1;RTN4
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	NOL3;SOD2
negative regulation of RNA metabolic process (GO:0051253)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	FCN3;ZC3H12A
negative regulation of T cell receptor signaling pathway (GO:0050860)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	PTPRJ;GBP1
pore complex assembly (GO:0046931)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	ANO6;RTN4
positive regulation of cellular protein catabolic process (GO:1903364)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	PCSK9;VPS35
positive regulation of establishment of protein localization (GO:1904951)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	PTP4A3;TREM2
positive regulation of focal adhesion assembly (GO:0051894)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	SFRP1;PTPRJ
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	ACP3;MRAP2
positive regulation of macrophage migration (GO:1905523)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	CCL3;TREM2
prostaglandin biosynthetic process (GO:0001516)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	TBXAS1;PTGS2
regulation of exosomal secretion (GO:1903541)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	SDCBP;IFNG
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	IGFBP3;IGFBP2
regulation of lymphocyte proliferation (GO:0050670)	2/19	0.2338507549292686	0.561295383100115	0	0	2.3157958835708197	3.3650185418338387	MZB1;IL27
positive regulation of endothelial cell migration (GO:0010595)	6/86	0.23697696455056302	0.561295383100115	0	0	1.4775467775467777	2.127360530175908	SEMA5A;ZC3H12A;WNT5A;FGF18;GFUS;GATA2
potassium ion transport (GO:0006813)	8/122	0.23878744266115107	0.561295383100115	0	0	1.3828947368421052	1.980556236450375	KCNH2;KCNK10;SLC9A6;KCNK12;HPN;KCNJ15;KCNJ2;AQP1
base-excision repair, gap-filling (GO:0006287)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	PARG;OGG1;RPA1
cellular response to hydrogen peroxide (GO:0070301)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	IL6;PPIF;AQP1
intracellular pH reduction (GO:0051452)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	SLC11A1;SLAMF8;TCIRG1
lung development (GO:0030324)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	SHH;PDPN;CHI3L1
negative regulation of organelle assembly (GO:1902116)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	LIMK2;TMEM39A;EVI5L
peptidyl-tyrosine dephosphorylation (GO:0035335)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	PTPRJ;DUSP16;DUSP6
regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	FGR;PIK3R3;NOD2
respiratory system development (GO:0060541)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	SHH;PDPN;CHI3L1
response to estrogen (GO:0043627)	3/35	0.23901875850792922	0.561295383100115	0	0	1.8458549222797926	2.6418120087770314	CYP27B1;SFRP1;NCOA4
peptidyl-tyrosine phosphorylation (GO:0018108)	5/69	0.24133623529462747	0.561295383100115	0	0	1.5388110072689511	2.187518562536585	FGR;HCK;TEC;SYK;FES
negative regulation of cellular biosynthetic process (GO:0031327)	4/52	0.2432145910712191	0.561295383100115	0	0	1.6410788381742738	2.3201755340175936	FCN3;PLEK;ZC3H12A;SNAI1
plasma membrane bounded cell projection morphogenesis (GO:0120039)	4/52	0.2432145910712191	0.561295383100115	0	0	1.6410788381742738	2.3201755340175936	ANKRD27;SLC9A6;BDNF;NRK
regulation of mitotic cell cycle (GO:0007346)	11/178	0.24481278222063718	0.561295383100115	0	0	1.2984376075435335	1.8272412744046704	SDCBP;ASAH2;UBD;SPHK1;UBE2D1;PIM3;PIM2;PSMB10;PSMB8;CDC25B;PSMB9
calcium ion transmembrane transport (GO:0070588)	6/87	0.24503740370259997	0.561295383100115	0	0	1.4592284592284592	2.0521777893449316	TRPC4;TRPV4;ANO6;ATP2B1;TMEM165;GRIN2D
sodium ion transmembrane transport (GO:0035725)	6/87	0.24503740370259997	0.561295383100115	0	0	1.4592284592284592	2.0521777893449316	SLC9A6;SCNN1B;SLC6A14;SLC6A12;ANO6;SCN1B
regulation of JNK cascade (GO:0046328)	7/105	0.24606103724555628	0.561295383100115	0	0	1.4073138100193252	1.9733011632724855	SDCBP;AMBP;FZD7;IL1B;MBIP;CCN2;NOD2
positive regulation of cell-substrate adhesion (GO:0010811)	5/70	0.2504777980370593	0.561295383100115	0	0	1.5150571131879542	2.097422330998524	VIT;SFRP1;CD36;OLFM4;CCL28
base-excision repair, AP site formation (GO:0006285)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	OGG1;TERF2
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	CLDN18;CLDN1
cardiac epithelial to mesenchymal transition (GO:0060317)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	ACVRL1;SNAI1
cellular modified amino acid biosynthetic process (GO:0042398)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	PLSCR1;CHAC1
cellular monovalent inorganic cation homeostasis (GO:0030004)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	TMPRSS3;KCNJ2
folic acid-containing compound metabolic process (GO:0006760)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	MTHFD2;ALDH1L2
granulocyte differentiation (GO:0030851)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	CSF3;PML
inositol phosphate-mediated signaling (GO:0048016)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	HRH1;NMUR2
insulin secretion (GO:0030073)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	ADCYAP1;RAB11FIP5
negative regulation of axon extension involved in axon guidance (GO:0048843)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	SEMA5A;SEMA3E
negative regulation of lipid storage (GO:0010888)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	IL6;TREM2
negative regulation of osteoclast differentiation (GO:0045671)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	CCL3;LILRB3
negative regulation of telomere maintenance via telomerase (GO:0032211)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	TENT4B;TERF2
oligodendrocyte differentiation (GO:0048709)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	SHH;TPPP
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	CCND1;CDC25B
positive regulation of hormone secretion (GO:0046887)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	HCAR2;PLA2G3
positive regulation of interferon-alpha production (GO:0032727)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	STAT1;TLR8
positive regulation of lymphocyte differentiation (GO:0045621)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	MMP14;SYK
positive regulation of nitrogen compound metabolic process (GO:0051173)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	IFNG;HPN
positive regulation of protein processing (GO:0010954)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	HPN;NLRC4
protein targeting to lysosome (GO:0006622)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	NCOA4;SORL1
regulation of lymphocyte differentiation (GO:0045619)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	SLAMF8;CCR2
regulation of programmed necrotic cell death (GO:0062098)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	SDCBP;MLKL
toll-like receptor 4 signaling pathway (GO:0034142)	2/20	0.2520817097681483	0.561295383100115	0	0	2.187025534851622	3.0137255587039005	CD14;LGALS9
membrane fusion (GO:0061025)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	DCSTAMP;MYOF;DYSF
negative regulation of DNA metabolic process (GO:0051053)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	ACVRL1;DFFA;TERF2
negative regulation of fat cell differentiation (GO:0045599)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	IL6;WNT5A;GATA2
positive regulation of interferon-beta production (GO:0032728)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	IRF1;TLR8;TLR2
regulation of ossification (GO:0030278)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	CYP27B1;SFRP1;WNT5A
regulation of receptor internalization (GO:0002090)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	SDCBP;PCSK9;SELE
Wnt signaling pathway, calcium modulating pathway (GO:0007223)	3/36	0.25215086934184494	0.561295383100115	0	0	1.7898257183231276	2.4658924394286927	AGO1;WNT5A;GNB1
